"zip","price","sq_ft","lot_size","beds","baths","age","daysOnMarket"
"90043","557000","1497","4796","3","2","1930","97"
"90031","825000","1360","6391","3","1.5","1965","-1"
"90032","545000","1150","6452","3","1","1952","104"
"90043","1325000","1983","7199","3","2","1925","43"
"90043","492000","1176","6250","2","1","1923","75"
"90065","820000","832","4488","2","2","1940","42"
"90046","1168846","1200","2926","2","1","1955","37"
"90045","1570000","2025","6157","3","3","1944","74"
"90049","2314729","2305","0.35","3","3","1955","79"
"90062","650000","2096","5401","3","2","1909","80"
"90066","2350000","2440","4397","4","3","2019","28"
"90062","480000","1402","5406","2","1","1912",""
"90035","1200000","1480","6500","2","1.5","1925","221"
"90047","640000","1423","6703","3","2","1923","28"
"90045","1850000","4600","0.25","9","6","1950","78"
"90077","3499000","5140","0.34","5","6","1969","55"
"90045","1508000","1883","6891","3","3","1949","78"
"90049","8550000","7136","0.49","7","12","1951","71"
"90068","1388000","2538","7417","4","3","1926","58"
"90032","745000","1800","4791","4","3","2018","119"
"90022","578000","1606","5199","4","3","1938","198"
"90032","638000","1380","6407","2","2","1936","32"
"90068","1650000","2600","7702","3","4.5","1954","64"
"90034","1280000","2121","5023","4","3","1945","56"
"90047","370000","936","4717","2","1","1925","85"
"90018","605000","1316","3700","3","1","1925","146"
"90062","466500","958","6504","2","1","1909","62"
"90049","3100000","2076","7511","3","2","1948","47"
"90077","2550000","4432","0.32","6","6","1978","78"
"90032","745000","1701","0.56","3","2","1959","108"
"90027","2757000","4355","6710","5","6","1947","48"
"90064","1220000","1136","3908","3","2","1948","63"
"90066","1395000","1800","5503","3","2","1947","77"
"90045","1001000","1939","9569","3","2","1953","2"
"90011","445000","1196","4794","3","2","1904","175"
"90045","1200000","1364","6062","3","2","1941","98"
"90004","1825000","2376","7638","4","3","1910","34"
"90046","880000","825","2506","2","1.5","1959","108"
"90025","1360000","1913","5621","4","3","1939","170"
"90047","350000","797","2380","2","1","1939","161"
"90024","1925000","2100","6496","2","2","1939","99"
"90026","1130000","2021","1814","3","3","1927","28"
"90066","2605000","2759","6629","4","4.5","2019","-1"
"93591","7500","0","0","0","0","0","62"
"90035","2450000","3112","8774","4","4","1928","105"
"90015","1687000","1710","9.17","2","3","2010",""
"90044","750000","2484","7440","0","0","1948","55"
"90063","568000","2142","6601","0","0","1938","293"
"90062","1000000","4380","0.26","0","0","1921","126"
"90060","162500","0","0","0","0","0","142"
"90045","925000","1644","7019","0","0","1948","78"
"90046","2850000","2148","0.42","3","3","1937","0"
"90019","532000","921","9225","2","2","1983","50"
"90020","507000","1088","0.8","2","2","1992","61"
"90042","435000","924","8.81","2","1","1980","58"
"90043","915000","1695","5331","3","3","1948","41"
"90025","980000","1777","6455","3","3","1980","76"
"90012","1225000","2217","0.55","1","2","1907","48"
"90230","589900","945","0.44","2","1","1967","60"
"90045","1030000","1398","6503","2","1","1943","76"
"90004","1060000","1808","6000","5","3","1910","42"
"90016","750000","1104","6576","3","2","1944","39"
"90004","745000","1641","0.69","2","3","2003","90"
"90004","560000","960","2502","2","1","1920","163"
"90066","1022000","1633","0.78","3","3","1994","75"
"90069","510000","761","2.76","1","1","1973","80"
"90002","263000","740","3092","2","1","1910","40"
"90045","1640000","2243","8493","3","3","1950","89"
"90064","1849000","2241","5722","4","3","2019","47"
"90230","1128000","1142","5003","3","1","1947","40"
"90034","460000","917","4.07","1","1","1961","276"
"90016","462000","961","12.68","1","1","1942","26"
"90024","870000","1409","0.72","2","2","1989","107"
"90032","758000","1827","7506","3","1.5","1939","47"
"90039","1520000","1840","5518","3","3","1940","49"
"90016","1085000","1775","6300","3","2","1924","47"
"90027","2325000","2309","5549","3","4","1937","47"
"90042","995000","2018","6297","2","1.5","1963","37"
"90039","1580000","1938","5400","3","3","1923","89"
"90047","440000","1180","5604","3","1","1947","58"
"90001","773000","3488","4940","0","0","2015","92"
"90045","1120000","2276","6761","3","3","1950","60"
"90018","1046000","2224","5749","4","3","1915","48"
"90025","1190000","1951","6752","4","3","1988","76"
"90049","850000","1083","5690","2","2","1988","46"
"90004","1280000","1600","2401","2","3","1924","28"
"90064","860000","1457","0.37","2","3","2009","96"
"90061","680000","3294","5221","0","0","2004","378"
"90043","640000","1510","5800","3","2","1938","14"
"90064","1309000","1999","3132","3","3","1988","197"
